x,y,species
0.613,0.905,maple
0.598,0.887,maple
0.593,0.891,maple
0.576,0.923,maple
0.592,0.892,maple
0.583,0.906,maple
0.595,0.925,maple
0.672,0.891,maple
0.574,0.937,maple
0.594,0.95,maple
0.59,0.953,maple
0.627,0.978,maple
0.78,0.868,maple
0.787,0.856,maple
0.735,0.929,maple
0.763,0.971,maple
0.759,0.789,maple
0.782,0.737,maple
0.782,0.738,maple
0.778,0.746,maple
0.806,0.713,maple
0.722,0.82,maple
0.75,0.633,maple
0.858,0.584,maple
0.872,0.642,maple
0.726,0.666,maple
0.755,0.685,maple
0.839,0.494,maple
0.848,0.509,maple
0.812,0.508,maple
0.807,0.515,maple
0.858,0.53,maple
0.765,0.532,maple
0.768,0.537,maple
0.787,0.514,maple
0.738,0.515,maple
0.869,0.38,maple
0.866,0.364,maple
0.733,0.337,maple
0.752,0.331,maple
0.779,0.32,maple
0.793,0.32,maple
0.763,0.285,maple
0.765,0.308,maple
0.756,0.294,maple
0.752,0.304,maple
0.725,0.285,maple
0.814,0.292,maple
0.727,0.382,maple
0.724,0.19,maple
0.772,0.144,maple
0.751,0.169,maple
0.841,0.193,maple
0.81,0.281,maple
0.824,0.267,maple
0.819,0.252,maple
0.831,0.267,maple
0.845,0.237,maple
0.791,0.218,maple
0.75,0.258,maple
0.754,0.273,maple
0.766,0.274,maple
0.772,0.26,maple
0.767,0.24,maple
0.779,0.229,maple
0.736,0.054,maple
0.737,0.054,maple
0.74,0.025,maple
0.715,0,maple
0.739,0.024,maple
0.826,0.026,maple
0.79,0.022,maple
0.844,0.137,maple
0.828,0.093,maple
0.808,0.103,maple
0.839,0.096,maple
0.752,0.116,maple
0.764,0.076,maple
0.727,0.094,maple
0.718,0.073,maple
0.879,0.032,maple
0.907,0.009,maple
0.921,0.029,maple
0.895,0.067,maple
0.88,0.049,maple
0.861,0.05,maple
0.656,0.062,maple
0.935,0.016,maple
0.945,0.027,maple
0.946,0.028,maple
0.973,0.017,maple
0.985,0.062,maple
0.946,0.058,maple
0.945,0.057,maple
0.968,0.025,maple
0.932,0.084,maple
0.931,0.107,maple
0.961,0.106,maple
0.968,0.098,maple
0.973,0.107,maple
0.969,0.118,maple
0.868,0.074,maple
0.867,0.078,maple
0.908,0.079,maple
0.917,0.141,maple
0.909,0.132,maple
0.9,0.117,maple
0.915,0.193,maple
0.916,0.185,maple
0.911,0.186,maple
0.91,0.185,maple
0.898,0.194,maple
0.899,0.182,maple
0.886,0.176,maple
0.89,0.205,maple
0.879,0.201,maple
0.867,0.202,maple
0.934,0.152,maple
0.97,0.15,maple
0.93,0.192,maple
0.951,0.219,maple
0.899,0.241,maple
0.906,0.232,maple
0.905,0.231,maple
0.925,0.494,maple
0.924,0.494,maple
0.963,0.46,maple
0.978,0.537,maple
0.979,0.551,maple
0.986,0.561,maple
0.963,0.548,maple
0.935,0.568,maple
0.897,0.564,maple
0.884,0.557,maple
0.878,0.563,maple
0.878,0.564,maple
0.913,0.584,maple
0.933,0.62,maple
0.88,0.609,maple
0.916,0.63,maple
0.95,0.631,maple
0.951,0.668,maple
0.985,0.591,maple
0.992,0.606,maple
0.994,0.608,maple
0.969,0.628,maple
0.907,0.652,maple
0.978,0.791,maple
0.867,0.977,maple
0.315,0.074,maple
0.027,0.041,misc
0.105,0.097,misc
0.008,0.134,misc
0.05,0.131,misc
0.009,0.113,misc
0.028,0.109,misc
0.027,0.156,misc
0.036,0.184,misc
0.028,0.171,misc
0.103,0.215,misc
0.124,0.247,misc
0.269,0.316,misc
0.21,0.161,misc
0.221,0.196,misc
0.22,0.182,misc
0.263,0.227,misc
0.245,0.235,misc
0.216,0.227,misc
0.211,0.22,misc
0.29,0.274,misc
0.163,0.261,misc
0.205,0.259,misc
0.173,0.245,misc
0.262,0.13,misc
0.251,0.105,misc
0.307,0.192,misc
0.342,0.287,misc
0.395,0.04,misc
0.423,0.076,misc
0.42,0.113,misc
0.402,0.656,misc
0.358,0.671,misc
0.504,0.951,misc
0.536,0.969,misc
0.539,0.956,misc
0.545,0.963,misc
0.561,0.721,misc
0.523,0.834,misc
0.503,0.624,misc
0.556,0.696,misc
0.434,0.657,misc
0.574,0.51,misc
0.552,0.516,misc
0.462,0.15,misc
0.535,0.146,misc
0.516,0.169,misc
0.488,0.063,misc
0.464,0.026,misc
0.567,0.073,misc
0.436,0.137,misc
0.437,0.117,misc
0.7,0.107,misc
0.66,0.236,misc
0.661,0.282,misc
0.601,0.469,misc
0.594,0.487,misc
0.719,0.549,misc
0.668,0.553,misc
0.639,0.517,misc
0.657,0.518,misc
0.602,0.56,misc
0.574,0.626,misc
0.646,0.669,misc
0.644,0.705,misc
0.64,0.71,misc
0.636,0.699,misc
0.573,0.724,misc
0.582,0.721,misc
0.619,0.731,misc
0.622,0.726,misc
0.677,0.788,misc
0.659,0.816,misc
0.677,0.866,misc
0.631,0.956,misc
0.837,0.989,misc
0.723,0.831,misc
0.723,0.83,misc
0.724,0.828,misc
0.781,0.602,misc
0.721,0.601,misc
0.817,0.568,misc
0.852,0.539,misc
0.839,0.569,misc
0.851,0.567,misc
0.811,0.535,misc
0.732,0.557,misc
0.762,0.55,misc
0.763,0.102,misc
0.96,0.008,misc
0.988,0.227,misc
0.933,0.472,misc
0.916,0.492,misc
0.91,0.492,misc
0.877,0.487,misc
0.987,0.451,misc
0.994,0.427,misc
0.946,0.481,misc
0.878,0.527,misc
0.879,0.534,misc
0.898,0.508,misc
0.917,0.606,misc
0.935,0.649,misc
0.895,0.686,misc
0.946,0.725,misc
0.327,0.108,misc
0.028,0.003,redoak
0.037,0.004,redoak
0.136,0,redoak
0.127,0.035,redoak
0.124,0.051,redoak
0.1,0.064,redoak
0.07,0.09,redoak
0.031,0.068,redoak
0.052,0.085,redoak
0.051,0.1,redoak
0.026,0.118,redoak
0.028,0.135,redoak
0.03,0.146,redoak
0.058,0.179,redoak
0.042,0.156,redoak
0.041,0.156,redoak
0.027,0.166,redoak
0.032,0.172,redoak
0.088,0.154,redoak
0.111,0.137,redoak
0.118,0.221,redoak
0.095,0.284,redoak
0.077,0.279,redoak
0.052,0.219,redoak
0.047,0.277,redoak
0.027,0.253,redoak
0.029,0.291,redoak
0.068,0.292,redoak
0.065,0.302,redoak
0.004,0.344,redoak
0.075,0.324,redoak
0.076,0.341,redoak
0.065,0.43,redoak
0.147,0.455,redoak
0.145,0.479,redoak
0.129,0.477,redoak
0.098,0.526,redoak
0.101,0.526,redoak
0.121,0.51,redoak
0.063,0.496,redoak
0.065,0.564,redoak
0.004,0.554,redoak
0.037,0.624,redoak
0.029,0.619,redoak
0.017,0.593,redoak
0.039,0.58,redoak
0.088,0.627,redoak
0.107,0.654,redoak
0.054,0.756,redoak
0.027,0.753,redoak
0.117,0.755,redoak
0.118,0.787,redoak
0.004,0.802,redoak
0.003,0.96,redoak
0.2,0.882,redoak
0.245,0.962,redoak
0.28,0.963,redoak
0.166,0.938,redoak
0.197,0.762,redoak
0.242,0.784,redoak
0.206,0.79,redoak
0.259,0.569,redoak
0.229,0.692,redoak
0.28,0.677,redoak
0.232,0.673,redoak
0.159,0.64,redoak
0.278,0.564,redoak
0.28,0.54,redoak
0.197,0.308,redoak
0.174,0.308,redoak
0.158,0.304,redoak
0.156,0.303,redoak
0.228,0.318,redoak
0.237,0.307,redoak
0.234,0.294,redoak
0.271,0.419,redoak
0.234,0.38,redoak
0.183,0.411,redoak
0.213,0.356,redoak
0.18,0.193,redoak
0.184,0.197,redoak
0.155,0.157,redoak
0.216,0.273,redoak
0.249,0.26,redoak
0.258,0.286,redoak
0.267,0.227,redoak
0.166,0.048,redoak
0.206,0.064,redoak
0.221,0.06,redoak
0.236,0.042,redoak
0.245,0.01,redoak
0.252,0.013,redoak
0.251,0.111,redoak
0.234,0.078,redoak
0.219,0.094,redoak
0.219,0.075,redoak
0.238,0.082,redoak
0.325,0.155,redoak
0.34,0.206,redoak
0.307,0.214,redoak
0.405,0.177,redoak
0.404,0.24,redoak
0.403,0.231,redoak
0.418,0.245,redoak
0.406,0.246,redoak
0.324,0.24,redoak
0.331,0.251,redoak
0.314,0.282,redoak
0.352,0.294,redoak
0.352,0.293,redoak
0.384,0.332,redoak
0.4,0.32,redoak
0.408,0.317,redoak
0.367,0.404,redoak
0.187,0.079,redoak
0.187,0.078,redoak
0.162,0.097,redoak
0.311,0.004,redoak
0.313,0.025,redoak
0.333,0.023,redoak
0.337,0.006,redoak
0.306,0.051,redoak
0.358,0.013,redoak
0.364,0.031,redoak
0.377,0.039,redoak
0.419,0.016,redoak
0.418,0.023,redoak
0.417,0.065,redoak
0.394,0.071,redoak
0.419,0.078,redoak
0.376,0.087,redoak
0.422,0.102,redoak
0.297,0.108,redoak
0.383,0.416,redoak
0.344,0.402,redoak
0.356,0.398,redoak
0.343,0.409,redoak
0.316,0.435,redoak
0.332,0.442,redoak
0.329,0.432,redoak
0.352,0.434,redoak
0.358,0.434,redoak
0.353,0.484,redoak
0.331,0.481,redoak
0.339,0.489,redoak
0.299,0.474,redoak
0.298,0.472,redoak
0.395,0.43,redoak
0.43,0.471,redoak
0.34,0.501,redoak
0.367,0.842,redoak
0.324,0.774,redoak
0.314,0.745,redoak
0.406,0.719,redoak
0.423,0.763,redoak
0.373,0.791,redoak
0.368,0.841,redoak
0.347,0.805,redoak
0.363,0.832,redoak
0.385,0.855,redoak
0.374,0.911,redoak
0.343,0.923,redoak
0.489,0.874,redoak
0.545,0.916,redoak
0.505,0.924,redoak
0.465,0.986,redoak
0.503,0.781,redoak
0.482,0.761,redoak
0.519,0.781,redoak
0.567,0.846,redoak
0.487,0.83,redoak
0.442,0.643,redoak
0.479,0.617,redoak
0.501,0.581,redoak
0.446,0.647,redoak
0.481,0.481,redoak
0.505,0.446,redoak
0.481,0.433,redoak
0.554,0.481,redoak
0.515,0.557,redoak
0.555,0.513,redoak
0.524,0.531,redoak
0.44,0.566,redoak
0.475,0.562,redoak
0.497,0.562,redoak
0.502,0.33,redoak
0.555,0.425,redoak
0.558,0.396,redoak
0.565,0.395,redoak
0.528,0.338,redoak
0.502,0.364,redoak
0.438,0.201,redoak
0.489,0.188,redoak
0.522,0.211,redoak
0.525,0.202,redoak
0.551,0.211,redoak
0.455,0.213,redoak
0.491,0.025,redoak
0.523,0.064,redoak
0.566,0.013,redoak
0.519,0.015,redoak
0.509,0.013,redoak
0.544,0.079,redoak
0.511,0.085,redoak
0.431,0.102,redoak
0.593,0.03,redoak
0.597,0.051,redoak
0.654,0.005,redoak
0.683,0.026,redoak
0.583,0.078,redoak
0.594,0.089,redoak
0.637,0.108,redoak
0.596,0.195,redoak
0.582,0.198,redoak
0.575,0.211,redoak
0.697,0.273,redoak
0.604,0.288,redoak
0.598,0.341,redoak
0.584,0.422,redoak
0.577,0.448,redoak
0.611,0.455,redoak
0.633,0.461,redoak
0.685,0.484,redoak
0.679,0.487,redoak
0.68,0.463,redoak
0.663,0.484,redoak
0.692,0.496,redoak
0.693,0.506,redoak
0.696,0.518,redoak
0.698,0.585,redoak
0.711,0.63,redoak
0.679,0.637,redoak
0.65,0.639,redoak
0.699,0.601,redoak
0.714,0.671,redoak
0.654,0.738,redoak
0.658,0.722,redoak
0.685,0.733,redoak
0.696,0.719,redoak
0.696,0.766,redoak
0.672,0.774,redoak
0.645,0.733,redoak
0.618,0.877,redoak
0.63,0.852,redoak
0.584,0.916,redoak
0.653,0.987,redoak
0.617,0.966,redoak
0.814,0.916,redoak
0.79,0.983,redoak
0.805,0.983,redoak
0.829,0.986,redoak
0.83,0.985,redoak
0.823,0.95,redoak
0.825,0.935,redoak
0.799,0.943,redoak
0.76,0.958,redoak
0.786,0.983,redoak
0.769,0.984,redoak
0.76,0.738,redoak
0.819,0.768,redoak
0.85,0.853,redoak
0.752,0.847,redoak
0.785,0.85,redoak
0.736,0.644,redoak
0.746,0.621,redoak
0.779,0.644,redoak
0.784,0.57,redoak
0.762,0.591,redoak
0.725,0.571,redoak
0.826,0.628,redoak
0.797,0.606,redoak
0.838,0.672,redoak
0.803,0.673,redoak
0.765,0.689,redoak
0.723,0.657,redoak
0.764,0.688,redoak
0.772,0.485,redoak
0.826,0.476,redoak
0.773,0.569,redoak
0.781,0.563,redoak
0.738,0.353,redoak
0.75,0.348,redoak
0.753,0.342,redoak
0.769,0.337,redoak
0.857,0.302,redoak
0.827,0.351,redoak
0.82,0.397,redoak
0.85,0.402,redoak
0.759,0.383,redoak
0.741,0.175,redoak
0.754,0.197,redoak
0.787,0.185,redoak
0.723,0.168,redoak
0.841,0.282,redoak
0.851,0.094,redoak
0.813,0.106,redoak
0.823,0.077,redoak
0.811,0.081,redoak
0.78,0.101,redoak
0.721,0.075,redoak
0.929,0.109,redoak
0.921,0.251,redoak
0.997,0.232,redoak
0.99,0.251,redoak
0.938,0.266,redoak
0.93,0.266,redoak
0.905,0.264,redoak
0.874,0.262,redoak
0.876,0.264,redoak
0.869,0.267,redoak
0.934,0.317,redoak
0.976,0.292,redoak
0.986,0.329,redoak
0.949,0.341,redoak
0.982,0.396,redoak
0.908,0.392,redoak
0.92,0.371,redoak
0.905,0.417,redoak
0.861,0.463,redoak
0.992,0.473,redoak
0.989,0.471,redoak
0.984,0.481,redoak
0.958,0.524,redoak
0.959,0.523,redoak
0.887,0.527,redoak
0.9,0.574,redoak
0.956,0.692,redoak
0.944,0.659,redoak
0.944,0.666,redoak
0.882,0.692,redoak
0.974,0.789,redoak
0.979,0.847,redoak
0.965,0.833,redoak
0.921,0.828,redoak
0.887,0.877,redoak
0.965,0.887,redoak
0.975,0.879,redoak
0.999,0.923,redoak
0.981,0.916,redoak
0.961,0.975,redoak
0.904,0.982,redoak
0.861,0.977,redoak
0.859,0.979,redoak
0.406,0.377,redoak
0.416,0.418,redoak
0.412,0.423,redoak
0.111,0.013,whiteoak
0.14,0.001,whiteoak
0.096,0.127,whiteoak
0.058,0.092,whiteoak
0.073,0.074,whiteoak
0.077,0.116,whiteoak
0.009,0.133,whiteoak
0.036,0.142,whiteoak
0.056,0.157,whiteoak
0.066,0.187,whiteoak
0.057,0.181,whiteoak
0.054,0.177,whiteoak
0.071,0.174,whiteoak
0.037,0.205,whiteoak
0.058,0.203,whiteoak
0.073,0.159,whiteoak
0.13,0.202,whiteoak
0.113,0.173,whiteoak
0.075,0.171,whiteoak
0.083,0.222,whiteoak
0.09,0.267,whiteoak
0.089,0.268,whiteoak
0.042,0.214,whiteoak
0.062,0.237,whiteoak
0.069,0.262,whiteoak
0.015,0.305,whiteoak
0.018,0.314,whiteoak
0.017,0.292,whiteoak
0.029,0.33,whiteoak
0.08,0.324,whiteoak
0.087,0.314,whiteoak
0.113,0.335,whiteoak
0.11,0.321,whiteoak
0.133,0.357,whiteoak
0.081,0.384,whiteoak
0.135,0.404,whiteoak
0.124,0.361,whiteoak
0.05,0.365,whiteoak
0.05,0.39,whiteoak
0.029,0.45,whiteoak
0.025,0.468,whiteoak
0.023,0.471,whiteoak
0.064,0.474,whiteoak
0.06,0.461,whiteoak
0.024,0.484,whiteoak
0.092,0.453,whiteoak
0.041,0.497,whiteoak
0.028,0.503,whiteoak
0.029,0.523,whiteoak
0.025,0.534,whiteoak
0.048,0.521,whiteoak
0.037,0.543,whiteoak
0.038,0.551,whiteoak
0.026,0.542,whiteoak
0.026,0.554,whiteoak
0.023,0.565,whiteoak
0.026,0.536,whiteoak
0.01,0.549,whiteoak
0.028,0.577,whiteoak
0.034,0.633,whiteoak
0.008,0.579,whiteoak
0.109,0.679,whiteoak
0.004,0.792,whiteoak
0.025,0.8,whiteoak
0.028,0.811,whiteoak
0.026,0.813,whiteoak
0.038,0.805,whiteoak
0.068,0.831,whiteoak
0.032,0.825,whiteoak
0.024,0.847,whiteoak
0.022,0.882,whiteoak
0.027,0.851,whiteoak
0.027,0.858,whiteoak
0.044,0.878,whiteoak
0.047,0.876,whiteoak
0.002,0.873,whiteoak
0.006,0.855,whiteoak
0.124,0.881,whiteoak
0.147,0.919,whiteoak
0.141,0.971,whiteoak
0.021,0.961,whiteoak
0.016,0.982,whiteoak
0.153,0.865,whiteoak
0.237,0.973,whiteoak
0.247,0.986,whiteoak
0.263,0.956,whiteoak
0.273,0.979,whiteoak
0.153,0.968,whiteoak
0.184,0.972,whiteoak
0.181,0.948,whiteoak
0.194,0.958,whiteoak
0.183,0.776,whiteoak
0.174,0.776,whiteoak
0.152,0.768,whiteoak
0.219,0.736,whiteoak
0.185,0.734,whiteoak
0.156,0.727,whiteoak
0.273,0.753,whiteoak
0.272,0.722,whiteoak
0.227,0.721,whiteoak
0.285,0.837,whiteoak
0.274,0.798,whiteoak
0.211,0.639,whiteoak
0.163,0.606,whiteoak
0.216,0.616,whiteoak
0.172,0.57,whiteoak
0.241,0.578,whiteoak
0.221,0.57,whiteoak
0.226,0.684,whiteoak
0.248,0.668,whiteoak
0.221,0.647,whiteoak
0.184,0.666,whiteoak
0.16,0.648,whiteoak
0.192,0.465,whiteoak
0.244,0.449,whiteoak
0.179,0.342,whiteoak
0.203,0.333,whiteoak
0.152,0.295,whiteoak
0.279,0.308,whiteoak
0.233,0.365,whiteoak
0.203,0.393,whiteoak
0.176,0.38,whiteoak
0.173,0.405,whiteoak
0.155,0.19,whiteoak
0.183,0.181,whiteoak
0.197,0.218,whiteoak
0.236,0.183,whiteoak
0.256,0.209,whiteoak
0.275,0.185,whiteoak
0.249,0.147,whiteoak
0.225,0.157,whiteoak
0.285,0.241,whiteoak
0.285,0.237,whiteoak
0.267,0.25,whiteoak
0.235,0.222,whiteoak
0.222,0.227,whiteoak
0.147,0.265,whiteoak
0.171,0.281,whiteoak
0.18,0.262,whiteoak
0.186,0.228,whiteoak
0.167,0.227,whiteoak
0.154,0.225,whiteoak
0.149,0.21,whiteoak
0.213,0.034,whiteoak
0.224,0.117,whiteoak
0.245,0.136,whiteoak
0.261,0.141,whiteoak
0.187,0.141,whiteoak
0.206,0.124,whiteoak
0.212,0.13,whiteoak
0.311,0.175,whiteoak
0.345,0.153,whiteoak
0.325,0.179,whiteoak
0.425,0.182,whiteoak
0.366,0.16,whiteoak
0.368,0.162,whiteoak
0.353,0.251,whiteoak
0.318,0.268,whiteoak
0.295,0.325,whiteoak
0.308,0.303,whiteoak
0.319,0.328,whiteoak
0.371,0.318,whiteoak
0.188,0.088,whiteoak
0.17,0.085,whiteoak
0.149,0.065,whiteoak
0.315,0.049,whiteoak
0.421,0.035,whiteoak
0.361,0.122,whiteoak
0.409,0.128,whiteoak
0.313,0.115,whiteoak
0.302,0.381,whiteoak
0.341,0.397,whiteoak
0.293,0.403,whiteoak
0.377,0.468,whiteoak
0.36,0.494,whiteoak
0.419,0.541,whiteoak
0.376,0.561,whiteoak
0.291,0.506,whiteoak
0.293,0.606,whiteoak
0.303,0.589,whiteoak
0.385,0.677,whiteoak
0.345,0.653,whiteoak
0.402,0.714,whiteoak
0.432,0.779,whiteoak
0.405,0.75,whiteoak
0.38,0.781,whiteoak
0.36,0.818,whiteoak
0.348,0.887,whiteoak
0.345,0.868,whiteoak
0.364,0.854,whiteoak
0.431,0.881,whiteoak
0.397,0.929,whiteoak
0.363,0.929,whiteoak
0.369,0.959,whiteoak
0.366,0.977,whiteoak
0.356,0.985,whiteoak
0.3,0.981,whiteoak
0.358,0.957,whiteoak
0.486,0.917,whiteoak
0.497,0.854,whiteoak
0.475,0.864,whiteoak
0.451,0.87,whiteoak
0.558,0.904,whiteoak
0.506,0.963,whiteoak
0.523,0.95,whiteoak
0.554,0.939,whiteoak
0.45,0.958,whiteoak
0.488,0.955,whiteoak
0.492,0.948,whiteoak
0.482,0.942,whiteoak
0.439,0.925,whiteoak
0.465,0.774,whiteoak
0.488,0.746,whiteoak
0.502,0.753,whiteoak
0.499,0.72,whiteoak
0.564,0.762,whiteoak
0.437,0.835,whiteoak
0.496,0.827,whiteoak
0.457,0.806,whiteoak
0.461,0.791,whiteoak
0.489,0.631,whiteoak
0.491,0.616,whiteoak
0.543,0.588,whiteoak
0.529,0.571,whiteoak
0.528,0.591,whiteoak
0.547,0.693,whiteoak
0.505,0.641,whiteoak
0.482,0.453,whiteoak
0.55,0.479,whiteoak
0.568,0.502,whiteoak
0.558,0.505,whiteoak
0.434,0.537,whiteoak
0.446,0.555,whiteoak
0.45,0.499,whiteoak
0.46,0.32,whiteoak
0.486,0.308,whiteoak
0.547,0.305,whiteoak
0.55,0.377,whiteoak
0.515,0.364,whiteoak
0.575,0.361,whiteoak
0.436,0.41,whiteoak
0.488,0.391,whiteoak
0.463,0.37,whiteoak
0.512,0.188,whiteoak
0.502,0.162,whiteoak
0.498,0.157,whiteoak
0.558,0.272,whiteoak
0.523,0.232,whiteoak
0.51,0.218,whiteoak
0.476,0.259,whiteoak
0.475,0.278,whiteoak
0.479,0.244,whiteoak
0.472,0.235,whiteoak
0.456,0.238,whiteoak
0.458,0.012,whiteoak
0.511,0.064,whiteoak
0.551,0.057,whiteoak
0.521,0.135,whiteoak
0.543,0.12,whiteoak
0.522,0.088,whiteoak
0.446,0.11,whiteoak
0.588,0.068,whiteoak
0.653,0.062,whiteoak
0.655,0.127,whiteoak
0.602,0.127,whiteoak
0.659,0.176,whiteoak
0.705,0.155,whiteoak
0.668,0.218,whiteoak
0.588,0.228,whiteoak
0.592,0.225,whiteoak
0.6,0.25,whiteoak
0.592,0.253,whiteoak
0.59,0.279,whiteoak
0.58,0.282,whiteoak
0.583,0.3,whiteoak
0.579,0.32,whiteoak
0.62,0.3,whiteoak
0.628,0.323,whiteoak
0.637,0.321,whiteoak
0.643,0.303,whiteoak
0.646,0.333,whiteoak
0.64,0.357,whiteoak
0.697,0.328,whiteoak
0.714,0.357,whiteoak
0.699,0.353,whiteoak
0.699,0.422,whiteoak
0.584,0.359,whiteoak
0.623,0.378,whiteoak
0.615,0.399,whiteoak
0.611,0.404,whiteoak
0.596,0.412,whiteoak
0.594,0.436,whiteoak
0.629,0.451,whiteoak
0.648,0.435,whiteoak
0.688,0.523,whiteoak
0.583,0.593,whiteoak
0.604,0.603,whiteoak
0.618,0.573,whiteoak
0.637,0.602,whiteoak
0.65,0.596,whiteoak
0.608,0.647,whiteoak
0.662,0.593,whiteoak
0.676,0.59,whiteoak
0.681,0.597,whiteoak
0.702,0.592,whiteoak
0.685,0.619,whiteoak
0.596,0.661,whiteoak
0.6,0.699,whiteoak
0.577,0.737,whiteoak
0.576,0.762,whiteoak
0.708,0.785,whiteoak
0.65,0.792,whiteoak
0.67,0.832,whiteoak
0.591,0.814,whiteoak
0.597,0.802,whiteoak
0.63,0.819,whiteoak
0.627,0.829,whiteoak
0.629,0.839,whiteoak
0.576,0.991,whiteoak
0.609,0.906,whiteoak
0.614,0.892,whiteoak
0.632,0.873,whiteoak
0.657,0.932,whiteoak
0.698,0.95,whiteoak
0.706,0.981,whiteoak
0.695,0.984,whiteoak
0.688,0.979,whiteoak
0.685,0.985,whiteoak
0.672,0.966,whiteoak
0.665,0.984,whiteoak
0.662,0.979,whiteoak
0.628,0.927,whiteoak
0.621,0.989,whiteoak
0.577,0.978,whiteoak
0.645,0.958,whiteoak
0.634,0.978,whiteoak
0.75,0.919,whiteoak
0.762,0.906,whiteoak
0.797,0.876,whiteoak
0.793,0.943,whiteoak
0.726,0.981,whiteoak
0.742,0.981,whiteoak
0.751,0.959,whiteoak
0.724,0.947,whiteoak
0.745,0.75,whiteoak
0.754,0.755,whiteoak
0.773,0.78,whiteoak
0.759,0.723,whiteoak
0.801,0.776,whiteoak
0.85,0.761,whiteoak
0.834,0.721,whiteoak
0.817,0.737,whiteoak
0.789,0.831,whiteoak
0.804,0.83,whiteoak
0.851,0.838,whiteoak
0.768,0.833,whiteoak
0.777,0.828,whiteoak
0.756,0.793,whiteoak
0.768,0.649,whiteoak
0.767,0.62,whiteoak
0.854,0.637,whiteoak
0.859,0.645,whiteoak
0.85,0.603,whiteoak
0.87,0.591,whiteoak
0.843,0.689,whiteoak
0.75,0.499,whiteoak
0.795,0.479,whiteoak
0.761,0.432,whiteoak
0.737,0.443,whiteoak
0.734,0.513,whiteoak
0.804,0.367,whiteoak
0.772,0.327,whiteoak
0.794,0.317,whiteoak
0.787,0.291,whiteoak
0.745,0.31,whiteoak
0.741,0.305,whiteoak
0.733,0.316,whiteoak
0.856,0.344,whiteoak
0.826,0.357,whiteoak
0.831,0.301,whiteoak
0.811,0.308,whiteoak
0.806,0.41,whiteoak
0.825,0.425,whiteoak
0.839,0.418,whiteoak
0.718,0.411,whiteoak
0.758,0.395,whiteoak
0.742,0.181,whiteoak
0.733,0.165,whiteoak
0.772,0.157,whiteoak
0.807,0.177,whiteoak
0.833,0.199,whiteoak
0.852,0.188,whiteoak
0.855,0.156,whiteoak
0.813,0.144,whiteoak
0.805,0.208,whiteoak
0.738,0.286,whiteoak
0.756,0.219,whiteoak
0.776,0.065,whiteoak
0.773,0.006,whiteoak
0.747,0.001,whiteoak
0.844,0.034,whiteoak
0.791,0.024,whiteoak
0.821,0.115,whiteoak
0.828,0.124,whiteoak
0.824,0.132,whiteoak
0.792,0.096,whiteoak
0.802,0.136,whiteoak
0.722,0.118,whiteoak
0.751,0.077,whiteoak
0.78,0.109,whiteoak
0.859,0.011,whiteoak
0.864,0.038,whiteoak
0.911,0.016,whiteoak
0.887,0.047,whiteoak
0.864,0.156,whiteoak
0.949,0.186,whiteoak
0.937,0.238,whiteoak
0.968,0.24,whiteoak
0.959,0.305,whiteoak
0.939,0.49,whiteoak
0.861,0.474,whiteoak
0.961,0.498,whiteoak
0.947,0.553,whiteoak
0.919,0.56,whiteoak
0.996,0.674,whiteoak
0.994,0.705,whiteoak
0.913,0.698,whiteoak
0.863,0.738,whiteoak
0.917,0.751,whiteoak
0.971,0.756,whiteoak
0.931,0.773,whiteoak
0.943,0.787,whiteoak
0.992,0.834,whiteoak
0.998,0.845,whiteoak
0.978,0.853,whiteoak
0.895,0.798,whiteoak
0.922,0.814,whiteoak
0.88,0.824,whiteoak
0.863,0.826,whiteoak
0.9,0.927,whiteoak
0.991,0.863,whiteoak
0.96,0.981,whiteoak
0.955,0.966,whiteoak
0.865,0.936,whiteoak
0.905,0.959,whiteoak
0.86,0.982,whiteoak
0.302,0.102,whiteoak
0.298,0.169,whiteoak
