ID,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
173,Lynn,4,2060,-70.96332813,42.4655361,15.2,15.2,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72
174,Lynn,4,2061,-70.95539844,42.4656913,14.5,14.5,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88
175,Lynn,4,2062,-70.94956049,42.46973782,15.6,15.6,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3
176,Lynn,4,2063,-70.94184051,42.47386321,13.9,13.9,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51
177,Lynn,4,2064,-70.93358635,42.47795895,16.6,16.6,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81
178,Lynn,4,2065,-70.93275626,42.47118291,14.8,14.8,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28
179,Lynn,4,2066,-70.9283277,42.46698913,18.4,18.4,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8
180,Lynn,4,2067,-70.93568117,42.46299197,21,21,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98
181,Lynn,4,2068,-70.94445432,42.46644578,12.7,12.7,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6
182,Lynn,4,2069,-70.94152729,42.46000647,14.5,14.5,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04
183,Lynn,4,2070,-70.9516145,42.45977683,13.2,13.2,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71
184,Lynn,4,2071,-70.96616635,42.45956522,13.1,13.1,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35
185,Lynn,4,2072,-70.96366095,42.45184073,13.5,13.5,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34
186,Sargus,5,2081,-70.9942516,42.44480737,18.9,18.9,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68
187,Sargus,5,2082,-71.013476,42.45768833,20,20,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41
188,Sargus,5,2083,-71.00890371,42.4780706,21,21,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77
189,Sargus,5,2084,-71.0339364,42.48040615,24.7,24.2,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13
190,Lynnfield,6,2091,-71.02298432,42.51940258,30.8,30.8,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32
191,Lynnfield,6,2092,-71.05159672,42.54867625,34.9,34.9,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98
192,Peabody,7,2101,-71.01006435,42.55763199,26.6,26.6,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84
193,Peabody,7,2102,-71.00578598,42.5391899,25.3,25.3,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81
194,Peabody,7,2103,-70.96979957,42.53741594,24.7,24.7,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44
195,Peabody,7,2104,-70.95345078,42.52694365,21.2,21.2,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55
196,Peabody,7,2105,-70.96248586,42.51004949,19.3,19.3,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21
197,Peabody,7,2106,-70.94230138,42.50959157,20,20,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15
198,Peabody,7,2107,-70.92742836,42.52079568,16.6,16.6,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8
199,Peabody,7,2108,-70.9258481,42.5280897,14.4,14.4,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81
200,Peabody,7,2109,-70.9203645,42.53517133,19.4,19.4,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2
201,Danvers,8,2111,-70.9199886,42.55456273,19.7,19.7,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45
202,Danvers,8,2112,-70.93949898,42.56053765,20.5,20.5,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43
203,Danvers,8,2113,-70.93228948,42.58235529,25,25,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
204,Danvers,8,2114,-70.96559389,42.57730501,23.4,23.4,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43
205,Middleton,9,2121,-71.01692714,42.60411874,18.9,18.9,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
206,Topsfield,10,2141,-70.94295242,42.63708596,35.4,35.4,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81
207,Hamilton,11,2151,-70.85846126,42.62651999,24.7,24.7,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77
208,Wenham,12,2161,-70.88321342,42.60062309,31.6,31.6,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95
209,Beverly,13,2171,-70.88282901,42.57982759,23.3,23.3,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86
210,Beverly,13,2172,-70.90004765,42.55683488,19.6,19.6,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22
211,Beverly,13,2173,-70.88540706,42.56253432,18.7,18.7,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
212,Beverly,13,2174,-70.88357466,42.54357134,16,16,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44
213,Beverly,13,2175,-70.86961362,42.55099299,22.2,22.2,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
214,Beverly,13,2176,-70.8331045,42.5677956,25,25,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
215,Manchester,14,2181,-70.76934555,42.58194331,33,33,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
216,North Reading,15,3301,-71.07059632,42.58403917,23.5,23.5,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67
217,North Reading,15,3302,-71.11535913,42.57730579,19.4,19.4,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24
218,Wilmington,16,3311,-71.15160189,42.5678519,22,22,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1
219,Wilmington,16,3312,-71.18078077,42.57137904,17.4,17.4,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09
220,Wilmington,16,3313,-71.18508984,42.54157465,20.9,20.9,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79
221,Burlington,17,3321,-71.20069412,42.52558066,24.2,24.2,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72
222,Burlington,17,3322,-71.18211794,42.501871,21.7,21.7,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
223,Burlington,17,3323,-71.21898596,42.50760424,22.8,22.8,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52
224,Burlington,17,3324,-71.21100338,42.48562164,23.4,23.4,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54
225,Woburn,18,3331,-71.18414203,42.46417156,24.1,24.1,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78
226,Woburn,18,3332,-71.1672615,42.47686193,21.4,21.4,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94
227,Woburn,18,3333,-71.15080777,42.47112436,20,20,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
228,Woburn,18,3334,-71.12774442,42.48143733,20.8,20.8,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
229,Woburn,18,3335,-71.14667676,42.49204514,21.2,21.2,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34
230,Woburn,18,3336,-71.14733745,42.51123496,20.3,20.3,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1
231,Reading,19,3341,-71.11713195,42.51317947,28,28,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29
232,Reading,19,3342,-71.11825624,42.52604293,23.9,23.9,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22
233,Reading,19,3343,-71.11317758,42.54635605,24.8,24.8,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72
234,Reading,19,3344,-71.08954037,42.53515882,22.9,22.9,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51
235,Wakefield,20,3351,-71.07492436,42.51523703,23.9,23.9,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62
236,Wakefield,20,3352,-71.08545373,42.50154939,26.6,26.6,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53
237,Wakefield,20,3353,-71.05338885,42.50572769,22.5,22.5,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86
238,Wakefield,20,3354,-71.06519913,42.48172346,22.2,22.2,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44
239,Melrose,21,3361,-71.07127326,42.46573779,23.6,23.6,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5
240,Melrose,21,3362,-71.05458945,42.46531947,28.7,28.7,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7
241,Melrose,21,3363,-71.04646112,42.45083914,22.6,22.6,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81
242,Melrose,21,3364,-71.07097972,42.44839351,22,22,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2
243,Stoneham,22,3371,-71.08909148,42.46711598,22.9,22.9,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16
244,Stoneham,22,3372,-71.10448368,42.4927556,25,25,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21
245,Stoneham,22,3373,-71.10645236,42.4672992,20.6,20.6,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59
246,Winchester,23,3381,-71.12377095,42.46575352,28.4,28.4,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65
247,Winchester,23,3382,-71.13763834,42.46435557,21.4,21.4,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34
248,Winchester,23,3383,-71.14852787,42.45422723,38.7,38.7,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21
249,Winchester,23,3384,-71.16510689,42.44553141,43.8,43.8,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57
250,Winchester,23,3385,-71.12999832,42.44859781,33.2,33.2,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19
251,Medford,24,3391,-71.11162062,42.43555535,27.5,27.5,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42
252,Medford,24,3392,-71.13588281,42.42786345,26.5,26.5,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67
253,Medford,24,3393,-71.13449451,42.41895164,18.6,18.6,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63
254,Medford,24,3394,-71.12425026,42.41473281,19.3,19.3,0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44
255,Medford,24,3395,-71.11511883,42.41222882,20.1,20.1,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33
256,Medford,24,3396,-71.11002559,42.40331314,19.5,19.5,0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47
257,Medford,24,3397,-71.10282025,42.40547033,19.5,19.5,0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
258,Medford,24,3398,-71.0871367,42.40758106,20.4,20.4,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09
259,Medford,24,3399,-71.09176291,42.41815535,19.8,19.8,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
260,Medford,24,3400,-71.09931081,42.42297956,19.4,19.4,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55
261,Medford,24,3401,-71.09479768,42.43276527,21.7,21.7,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13
262,Malden,25,3411,-71.0810552,42.43345938,22.8,22.8,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16
263,Malden,25,3412,-71.08134886,42.42114454,18.8,18.8,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21
264,Malden,25,3413,-71.07081273,42.42747506,18.7,18.7,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09
265,Malden,25,3414,-71.06735371,42.4182822,18.5,18.5,0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
266,Malden,25,3415,-71.05950353,42.42466198,18.3,18.3,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76
267,Malden,25,3416,-71.06043745,42.43607236,21.2,21.2,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04
268,Malden,25,3417,-71.04783233,42.43630693,19.2,19.2,0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3
269,Malden,25,3418,-71.04837583,42.42753323,20.4,20.4,0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37
270,Malden,25,3419,-71.03214886,42.43477299,19.3,19.3,0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61
271,Everett,26,3421,-71.03927641,42.41588638,22,22,0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37
272,Everett,26,3422,-71.05140126,42.41769759,20.3,20.3,0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27
273,Everett,26,3423,-71.06276752,42.41225003,20.5,20.5,0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93
274,Everett,26,3424,-71.06564077,42.40697202,17.3,17.3,0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41
275,Everett,26,3425,-71.05165131,42.40721429,18.8,18.8,0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
276,Everett,26,3426,-71.04388616,42.40477076,21.4,21.4,0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81
277,Everett,26,3427,-71.06174635,42.39575543,15.7,15.7,0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26
278,Somerville,27,3501,-71.08639265,42.39421467,16.2,16.2,0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,392.11,17.19
279,Somerville,27,3502,-71.09699847,42.39097478,18,18,0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39
280,Somerville,27,3503,-71.10688021,42.39509417,14.3,14.3,0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34
281,Somerville,27,3504,-71.11537928,42.39833752,19.2,19.2,0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6
282,Somerville,27,3505,-71.12268307,42.39996826,19.6,19.6,1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26
283,Somerville,27,3506,-71.12265874,42.40482461,23,23,0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12
284,Somerville,27,3507,-71.13049385,42.40854078,18.4,18.4,0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03
285,Somerville,27,3508,-71.12759154,42.39989058,15.6,15.6,0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
286,Somerville,27,3509,-71.12059072,42.39408453,18.1,18.1,0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96
287,Somerville,27,3510,-71.11323201,42.38912687,17.4,17.4,0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9
288,Somerville,27,3511,-71.10503061,42.38742688,17.1,17.1,0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59
289,Somerville,27,3512,-71.10350873,42.37951384,13.3,13.3,0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32
290,Somerville,27,3513,-71.095722,42.38341577,17.8,17.8,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46
291,Somerville,27,3514,-71.08623992,42.38491726,14,14,0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16
292,Somerville,27,3515,-71.08551671,42.37706386,14.4,14.4,1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,396.9,34.41
293,Cambridge,28,3521,-71.07585726,42.36916735,13.4,13.4,3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,396.9,26.82
294,Cambridge,28,3522,-71.08604881,42.37186256,15.6,15.6,4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42
295,Cambridge,28,3523,-71.08405136,42.36669653,11.8,11.8,2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29
296,Cambridge,28,3524,-71.09069524,42.36453938,13.8,13.8,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.91,27.8
297,Cambridge,28,3525,-71.09844264,42.3677711,15.6,15.6,2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,169.27,16.65
298,Cambridge,28,3526,-71.09186102,42.36991843,14.6,14.6,2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53
299,Cambridge,28,3527,-71.09440781,42.37326303,17.8,17.8,2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32
300,Cambridge,28,3528,-71.09749342,42.37121671,15.4,15.4,2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45
301,Cambridge,28,3529,-71.10397548,42.37245935,21.5,21.5,1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1
302,Cambridge,28,3530,-71.10453357,42.36714427,19.6,19.6,1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28
303,Cambridge,28,3531,-71.09370939,42.35856226,15.3,15.3,1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,343.28,12.12
304,Cambridge,28,3532,-71.1065304,42.3579454,19.4,19.4,2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79
305,Cambridge,28,3533,-71.11191188,42.35871574,17,17,1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,321.02,15.12
306,Cambridge,28,3534,-71.11404732,42.36224678,15.6,15.6,3.53501,0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,88.01,15.02
307,Cambridge,28,3535,-71.11122708,42.36628194,13.1,13.1,2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,88.63,16.14
308,Cambridge,28,3536,-71.1155065,42.38009583,41.3,41.3,1.22358,0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59
309,Cambridge,28,3537,-71.11338426,42.37450766,24.3,24.3,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,353.89,6.43
310,Cambridge,28,3538,-71.11050615,42.37033088,23.3,23.3,1.42502,0,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,364.31,7.39
311,Cambridge,28,3539,-71.11784584,42.36865335,27,27,1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5
312,Cambridge,28,3540,-71.12272379,42.38009942,50,50,1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73
313,Cambridge,28,3541,-71.12624064,42.37514575,50,50,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92
314,Cambridge,28,3542,-71.13808316,42.37449934,50,50,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32
315,Cambridge,28,3543,-71.15073982,42.38324847,22.7,22.7,2.24236,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64
316,Cambridge,28,3544,-71.13816833,42.38333257,25,25,2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,240.16,9.81
317,Cambridge,28,3545,-71.12413428,42.38497145,50,50,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7
318,Cambridge,28,3546,-71.14212102,42.38947956,23.8,23.8,1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14
319,Cambridge,28,3547,-71.12342631,42.38946781,23.8,23.8,2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
320,Cambridge,28,3548,-71.1284421,42.39239352,22.3,22.3,2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32
321,Cambridge,28,3549,-71.14230016,42.39539747,17.4,17.4,1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43
322,Cambridge,28,3550,-71.13255021,42.39841345,19.1,19.1,2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03
323,Arlington,29,3561,-71.14567227,42.40147521,23.1,23.1,0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
324,Arlington,29,3562,-71.14313784,42.4077547,23.6,23.6,0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
325,Arlington,29,3563,-71.1411025,42.41364912,22.6,22.6,0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64
326,Arlington,29,3564,-71.15909623,42.42775255,29.4,29.4,0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
327,Arlington,29,3565,-71.18734481,42.42454589,23.2,23.2,0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
328,Arlington,29,3566,-71.17772632,42.41898779,24.6,24.6,0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
329,Arlington,29,3567,-71.16070194,42.41165768,29.9,29.9,0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
330,Belmont,30,3571,-71.16654167,42.40107141,37.2,37.2,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
331,Belmont,30,3572,-71.16687378,42.3910748,39.8,39.8,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56
332,Belmont,30,3573,-71.16067684,42.38067777,36.2,36.2,0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
333,Belmont,30,3574,-71.16901447,42.38125878,37.9,37.9,0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
334,Belmont,30,3575,-71.17643445,42.38348541,32.5,32.5,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
335,Belmont,30,3576,-71.18679738,42.38322798,26.4,26.4,0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98
336,Belmont,30,3577,-71.19454665,42.39695113,29.6,29.6,0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
337,Belmont,30,3578,-71.18587321,42.4031318,50,50,0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
338,Lexington,31,3581,-71.20716531,42.42635598,32,32,0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68
339,Lexington,31,3583,-71.23766069,42.42429291,29.8,29.8,0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
340,Lexington,31,3584,-71.24417151,42.43976459,34.9,34.9,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39
341,Lexington,31,3585,-71.20188623,42.44772423,37,33,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1
342,Lexington,31,3586,-71.2516825,42.45987856,30.5,30.5,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69
343,Lexington,31,3587,-71.2331502,42.47019712,36.4,36.4,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
344,Bedford,32,3591,-71.25787189,42.50345797,31.1,31.1,0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
345,Bedford,32,3592,-71.27074801,42.50370999,29.1,29.1,0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
346,Lincoln,33,3602,-71.31013327,42.42516481,50,50,0.01381,80,0.46,0,0.422,7.875,32,5.6484,4,255,14.4,394.23,2.97
347,Concord,34,3611,-71.37021336,42.44211569,33.3,33.3,0.04011,80,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
348,Concord,34,3612,-71.40687476,42.44641021,30.3,30.3,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
349,Concord,34,3613,-71.34903456,42.47698731,34.6,34.6,0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
350,Sudbury,35,3651,-71.4115435,42.40346313,34.9,34.9,0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,3,402,17,396.9,4.56
